"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -5.156809823,      -4.924262558,      -5.234543288,      -4.596941972
          0,           0,          77,      -5.176480679,       -4.94383103,      -5.255571164,      -4.617076282
          0,           0,          78,      -5.195220586,      -4.962715389,      -5.275152673,       -4.63613502
          0,           0,          79,      -5.213185584,      -4.981048584,       -5.29346613,      -4.654315097
          0,           0,          80,       -5.23048594,      -4.998934307,      -5.310755978,      -4.671797494
          0,           0,          81,      -5.247234645,      -5.016430937,      -5.327332342,      -4.688696102
          0,           0,          82,      -5.258096928,      -5.029583163,      -5.340110317,      -4.701731667
          0,           0,          83,      -5.269274194,      -5.043094114,      -5.352043741,      -4.715181406
          0,           0,          84,      -5.280665695,      -5.056498573,      -5.363736902,      -4.728393296
          0,           0,          85,      -5.292201167,      -5.069333986,      -5.375479451,      -4.740810172
          0,           0,          86,       -5.30400065,      -5.081514315,      -5.387199247,      -4.752346515
          0,           0,          87,      -5.316356922,      -5.093354079,      -5.398702217,      -4.763423622
          0,           0,          88,      -5.329444489,      -5.105171941,      -5.409932343,      -4.774472214
          0,           0,          89,      -5.343336791,      -5.117306192,      -5.421086418,      -4.785887249
          0,           0,          90,      -5.352492557,      -5.127393546,      -5.430752754,      -4.795706327
          0,           0,          91,      -5.362063344,      -5.137974419,      -5.439772645,      -4.806187677
          0,           0,          92,      -5.371862124,      -5.148607581,      -5.448691033,      -4.816713255
          0,           0,          93,      -5.381695509,      -5.158793448,      -5.457726122,      -4.826643571
          0,           0,          94,      -5.391701891,      -5.168548761,      -5.466678021,      -4.835954154
          0,           0,          95,      -5.401644638,      -5.177535277,      -5.475357258,      -4.844256573
          0,           0,          96,      -5.411649972,      -5.186041223,       -5.48351222,       -4.85189052
          0,           0,          97,      -5.421783728,      -5.194408826,      -5.491099387,      -4.859214596
          0,           0,          98,      -5.432039179,      -5.202922325,      -5.498333972,      -4.866512819
          0,           0,          99,      -5.438779597,      -5.210962659,      -5.505625477,      -4.873903549
          0,           0,         100,      -5.445619145,      -5.219372166,      -5.512134774,      -4.881723701
          0,           0,         101,      -5.452438628,      -5.227776894,      -5.518368333,      -4.889427218
          0,           0,         102,        -5.4590998,      -5.235715273,      -5.524548529,      -4.896425311
          0,           0,         103,      -5.465624195,      -5.243011784,      -5.530627864,      -4.902484079
          0,           0,         104,      -5.472181249,      -5.249806647,      -5.536442404,       -4.90779355
          0,           0,         105,      -5.478967688,      -5.256469661,       -5.54184424,      -4.912813767
          0,           0,         106,      -5.486079877,      -5.263360896,      -5.546939982,      -4.917995886
          0,           0,         107,      -5.493473751,      -5.270689288,      -5.552194795,      -4.923598338
          0,           0,         108,      -5.500824074,      -5.278774526,      -5.558392867,      -4.930061573
          0,           0,         109,      -5.508216287,      -5.287714656,      -5.565550676,      -4.937505724
          0,           0,         110,      -5.515734711,      -5.297361593,      -5.573632221,       -4.94577773
          0,           0,         111,      -5.523709067,      -5.307220935,      -5.582236852,      -4.954399972
          0,           0,         112,      -5.529154229,      -5.315760561,      -5.589840584,      -4.962140285
          0,           0,         113,      -5.535011606,      -5.325129565,       -5.59705794,      -4.970825825
          0,           0,         114,      -5.541110287,      -5.334635298,       -5.60439256,        -4.9796891
          0,           0,         115,      -5.547330178,      -5.343522596,      -5.612016871,      -4.987967721
          0,           0,         116,      -5.553814752,      -5.351481752,      -5.619849133,      -4.995382177
          0,           0,         117,      -5.560968935,      -5.358789966,      -5.627757296,      -5.002268572
          0,           0,         118,      -5.569307578,      -5.366152636,      -5.635877093,      -5.009400649
          0,           0,         119,      -5.579317559,      -5.374434288,      -5.644837469,      -5.017692493
          0,           0,         120,       -5.59155232,      -5.384651954,      -5.655663966,      -5.028180361
          0,           0,         121,      -5.606607401,      -5.397755238,      -5.669552529,      -5.041780426
          0,           0,         122,       -5.62405066,      -5.414255429,      -5.686789109,      -5.058835084
          0,           0,         123,      -5.644085203,       -5.43426706,      -5.707236215,      -5.079416145
          0,           0,         124,      -5.666532828,      -5.457123163,      -5.730592601,      -5.102831675
          0,           0,         125,      -5.691395286,      -5.482429648,      -5.756389485,      -5.128720535
          0,           0,         126,      -5.718535338,      -5.509771749,      -5.784214591,      -5.156710073
          0,           0,         127,      -5.747681163,      -5.538808198,      -5.813729291,      -5.186456727
          0,           0,         128,      -5.778418849,      -5.569170925,      -5.844838552,      -5.217608336
          0,           0,         129,      -5.810405781,      -5.600683425,      -5.877381447,      -5.250012733
