"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3.7857,2,2,-1.0848e-07,0,0.71429,-6.6716e-08,-6.9663e-18,-3.7648e-17,-2.884e-18,4.7082e-19,0,1,1,0.068,0.068,0.2,0
1,3.7857,2,2,-1.4602e-07,0,0.71429,-8.8707e-08,-5.3121e-18,-2.7268e-17,3.3998e-18,5.4536e-19,0,1,1,0.07,0.07,0.2,0
1,3.7857,2,2,-1.8662e-07,0,0.71429,-1.1141e-07,-3.4132e-18,-1.5173e-17,8.9323e-18,9.7156e-19,0,1,1,0.072,0.072,0.2,0
1,3.7857,2,2,-2.2722e-07,0,0.71429,-1.3412e-07,-1.5142e-18,-3.0775e-18,1.4465e-17,1.3978e-18,0,1,1,0.074,0.074,0.2,0
1,3.7857,2,2,-1.2288e-07,0,0.71429,-8.1325e-08,-1.2454e-18,4.7379e-18,1.29e-17,9.6749e-19,0,1,1,0.076,0.076,0.2,0
1,3.7857,2,2,1.3537e-07,0,0.71429,5.1639e-08,-2.7075e-18,8.009e-18,3.7996e-18,-3.7221e-19,0,1,1,0.078,0.078,0.2,0
1,3.7857,2,2,4.5901e-07,0,0.71429,2.6523e-07,-3.6764e-18,7.8142e-18,-5.6122e-18,-2.2764e-19,0,1,1,0.08,0.08,0.2,0
1,3.7857,2,2,8.0029e-07,0,0.71429,5.0057e-07,-4.5124e-18,6.6843e-18,-1.5108e-17,3.1735e-19,0,1,1,0.082,0.082,0.2,0
1,3.7857,2,2,1.1416e-06,0,0.71429,7.3591e-07,-5.3484e-18,5.5545e-18,-2.4604e-17,8.6233e-19,0,1,1,0.084,0.084,0.2,0
1,3.7857,2,2,1.4829e-06,0,0.71429,9.7124e-07,-6.1844e-18,4.4247e-18,-3.4099e-17,1.4073e-18,0,1,1,0.086,0.086,0.2,0
1,3.7857,2,2,1.8241e-06,0,0.71429,1.2066e-06,-7.0203e-18,3.2949e-18,-4.3595e-17,1.9523e-18,0,1,1,0.088,0.088,0.2,0
1,3.7857,2,2,3.1219e-07,0,0.71429,4.3205e-07,-6.7214e-18,-4.8058e-18,-3.4173e-17,1.8125e-18,0,1,1,0.09,0.09,0.2,0
1,3.7857,2,2,-1.2404e-06,0,0.71429,-3.6462e-07,-6.3976e-18,-1.3059e-17,-2.4336e-17,1.6577e-18,0,1,1,0.092,0.092,0.2,0
1,3.7857,2,2,-2.793e-06,0,0.71428,-1.1613e-06,-6.0738e-18,-2.1313e-17,-1.4499e-17,1.5029e-18,0,1,1,0.094,0.094,0.2,0
1,3.7857,2,2,-4.3456e-06,0,0.71428,-1.958e-06,-5.75e-18,-2.9566e-17,-4.6625e-18,1.3482e-18,0,1,1,0.096,0.096,0.2,0
1,3.7857,2,2,-5.8981e-06,0,0.71428,-2.7546e-06,-5.4262e-18,-3.782e-17,5.1744e-18,1.1934e-18,0,1,1,0.098,0.098,0.2,0
0.99999,3.7857,2,2,-7.4507e-06,0,0.71428,-3.5513e-06,-5.1024e-18,-4.6073e-17,1.5011e-17,1.0386e-18,0,1,1,0.1,0.1,0.2,0
0.99999,3.7857,2,2,-9.0033e-06,0,0.71428,-4.348e-06,-4.7787e-18,-5.4327e-17,2.4848e-17,8.838e-19,0,0.99999,1,0.102,0.102,0.2,0
1,3.7857,2,2,-2.3312e-06,0,0.71428,-8.5986e-07,-4.1724e-18,-4.8327e-17,2.2663e-17,-2.3383e-19,0,1,1,0.104,0.104,0.2,0
1,3.7857,2,2,5.3675e-06,0,0.71429,3.1528e-06,-3.4702e-18,-4.0103e-17,1.8974e-17,-1.4602e-18,0,1,1,0.106,0.106,0.2,0
1,3.7857,2,2,1.3066e-05,0,0.7143,7.1655e-06,-2.7679e-18,-3.1879e-17,1.5285e-17,-2.6866e-18,0,1,1,0.108,0.108,0.2,0
1,3.7857,2,2,2.0765e-05,0,0.71431,1.1178e-05,-2.0656e-18,-2.3654e-17,1.1595e-17,-3.913e-18,0,1,1,0.11,0.11,0.2,0
1,3.7858,1.9999,2,2.8464e-05,0,0.71432,1.5191e-05,-1.3634e-18,-1.543e-17,7.906e-18,-5.1394e-18,0,1,1,0.112,0.112,0.2,0
1,3.7858,1.9999,2,3.6162e-05,0,0.71432,1.9204e-05,-6.6112e-19,-7.2057e-18,4.2167e-18,-6.3658e-18,0,1,1,0.114,0.114,0.2,0
1,3.7858,1.9999,2,4.3861e-05,0,0.71433,2.3216e-05,4.1142e-20,1.0187e-18,5.2744e-19,-7.5922e-18,0,1,1,0.116,0.116,0.2,0
1.0001,3.7859,1.9999,2.0001,5.8462e-05,0,0.71435,3.3694e-05,3.2795e-19,6.4515e-18,-2.9128e-18,-6.8983e-18,0,1,1,0.118,0.118,0.2,0
1.0001,3.786,1.9999,2.0001,7.4973e-05,0,0.71438,4.6418e-05,4.6048e-19,1.0402e-17,-5.9074e-18,-5.5049e-18,0,1,1,0.12,0.12,0.2,0
1.0001,3.7862,1.9999,2.0002,8.2499e-05,0,0.7144,5.7084e-05,5.8877e-19,8.1449e-18,-4.0093e-18,-4.2798e-18,0,1,1,0.122,0.122,0.2,0
1.0002,3.7863,1.9999,2.0003,9.0025e-05,0,0.71442,6.775e-05,7.1705e-19,5.8883e-18,-2.1113e-18,-3.0547e-18,0,1,1,0.124,0.124,0.2,0
1.0002,3.7864,2,2.0004,9.7552e-05,0,0.71444,7.8416e-05,8.4534e-19,3.6316e-18,-2.1322e-19,-1.8296e-18,0,1,1,0.126,0.126,0.2,0
1.0001,3.7863,2,2.0003,6.6769e-05,0,0.7144,5.7041e-05,8.7825e-19,2.7898e-18,6.8608e-19,-6.5545e-19,0,1,1,0.128,0.128,0.2,0
0.99984,3.7852,2.0001,1.9998,-9.9613e-05,0,0.71413,-7.7745e-05,5.7359e-19,6.9564e-18,-1.9498e-18,3.3841e-19,0,0.99995,1,0.13,0.13,0.2,0
0.99953,3.784,2.0003,1.9992,-0.000266,0,0.71386,-0.00021253,2.6893e-19,1.1123e-17,-4.5857e-18,1.3323e-18,0,0.99988,1,0.132,0.132,0.2,0
0.99938,3.7835,2.0004,1.999,-0.00035689,0,0.71373,-0.00028015,6.7753e-19,1.3719e-17,-3.7718e-18,2.4003e-18,0,0.99983,1,0.134,0.134,0.2,0
0.99926,3.783,2.0004,1.9988,-0.00043447,0,0.71361,-0.00033592,1.2119e-18,1.6037e-17,-2.3494e-18,3.4815e-18,0,0.9998,1,0.136,0.136,0.2,0
0.99914,3.7826,2.0005,1.9986,-0.00051205,0,0.7135,-0.00039169,1.7463e-18,1.8356e-17,-9.2706e-19,4.5626e-18,0,0.99976,1,0.138,0.138,0.2,0
0.99903,3.7822,2.0006,1.9984,-0.00058963,0,0.71339,-0.00044746,2.2808e-18,2.0674e-17,4.9532e-19,5.6438e-18,0,0.99972,1,0.14,0.14,0.2,0
0.99891,3.7818,2.0007,1.9982,-0.00066721,0,0.71328,-0.00050323,2.8152e-18,2.2993e-17,1.9177e-18,6.7249e-18,0,0.99968,1,0.142,0.142,0.2,0
0.99893,3.7819,2.0008,1.9983,-0.00067866,0,0.71328,-0.00050484,3.6509e-18,2.6247e-17,3.9837e-18,8.1492e-18,0,0.99966,1,0.144,0.144,0.2,0
0.99924,3.7831,2.0008,1.9989,-0.0005444,0,0.71351,-0.00038709,5.1506e-18,3.1565e-17,7.4678e-18,1.033e-17,0,0.99967,1,0.146,0.146,0.2,0
0.99945,3.7841,2.0007,1.9994,-0.00049587,0,0.71371,-0.00028671,5.5057e-18,1.9316e-17,1.405e-17,7.5661e-18,0,0.99974,1,0.148,0.148,0.2,0
0.99962,3.7849,2.0006,1.9997,-0.00048331,0,0.7139,-0.0001936,5.3807e-18,-3.0191e-19,2.1933e-17,2.7283e-18,0,0.99984,1,0.15,0.15,0.2,0
0.99979,3.7858,2.0006,2.0001,-0.00047075,0,0.71408,-0.0001005,5.2557e-18,-1.9919e-17,2.9815e-17,-2.1094e-18,0,0.99993,1,0.152,0.152,0.2,0
0.99999,3.7867,2.0005,2.0005,-0.00043689,0,0.71428,-3.2707e-06,4.7918e-18,-4.091e-17,3.6883e-17,-6.6167e-18,0,1,1,0.154,0.154,0.2,0
1.0014,3.7917,1.9992,2.0025,0.00068017,0,0.71579,0.0007512,7.1591e-18,-3.2204e-17,3.6705e-17,-1.215e-17,0,1.0006,1,0.156,0.156,0.2,0
1.0167,3.8414,1.9839,2.0224,0.013366,0,0.73161,0.0086637,1.7899e-18,8.1646e-17,6.657e-17,-8.308e-17,0,1.0069,1,0.158,0.158,0.2,0
1.0319,3.8911,1.9686,2.0423,0.026052,0,0.74744,0.016576,-3.5793e-18,1.955e-16,9.6435e-17,-1.5401e-16,0,1.0131,1,0.16,0.16,0.2,0
1.0472,3.9408,1.9534,2.0622,0.038738,0,0.76326,0.024489,-8.9485e-18,3.0935e-16,1.263e-16,-2.2494e-16,0,1.0194,1,0.162,0.162,0.2,0
1.0624,3.9905,1.9381,2.0821,0.051424,0,0.77909,0.032401,-1.4318e-17,4.232e-16,1.5617e-16,-2.9587e-16,0,1.0257,1,0.164,0.164,0.2,0
1.0777,4.0402,1.9229,2.102,0.06411,0,0.79491,0.040314,-1.9687e-17,5.3705e-16,1.8603e-16,-3.668e-16,0,1.0319,1,0.166,0.166,0.2,0
1.0945,4.0958,1.9061,2.1239,0.078432,0,0.81267,0.049191,-2.591e-16,-6.6867e-16,-2.6521e-16,-6.2021e-16,0,1.039,1,0.168,0.168,0.2,0
1.1171,4.1705,1.885,2.1507,0.098564,0,0.83756,0.061636,-6.2024e-16,-2.4057e-15,-9.0027e-16,-7.9505e-16,0,1.0484,1,0.17,0.17,0.2,0
1.1798,4.3794,1.8332,2.2121,0.15954,0,0.91264,0.099178,-1.7544e-15,-7.3928e-15,-2.6497e-15,-3.3277e-16,0,1.0741,1,0.172,0.172,0.2,0
1.2425,4.5883,1.7814,2.2734,0.22052,0,0.98773,0.13672,-2.8886e-15,-1.238e-14,-4.3992e-15,1.2951e-16,0,1.0998,1,0.174,0.174,0.2,0
1.3053,4.7973,1.7296,2.3347,0.28149,0,1.0628,0.17426,-4.0228e-15,-1.7367e-14,-6.1486e-15,5.9179e-16,0,1.1255,1,0.176,0.176,0.2,0
1.3678,5.0052,1.6786,2.3947,0.34277,0,1.1379,0.21183,-3.7509e-15,-1.6334e-14,-5.4595e-15,5.4647e-16,0,1.1509,1,0.178,0.178,0.2,0
1.4303,5.212,1.6284,2.4534,0.40438,0,1.2131,0.24942,-1.9689e-15,-8.8345e-15,-2.1512e-15,-4.4016e-17,0,1.1758,1,0.18,0.18,0.2,0
1.4927,5.4187,1.5782,2.512,0.46598,0,1.2883,0.287,-1.8687e-16,-1.3353e-15,1.1571e-15,-6.345e-16,0,1.2007,1,0.182,0.182,0.2,0
1.5551,5.6255,1.528,2.5706,0.52758,0,1.3635,0.32459,1.5951e-15,6.1639e-15,4.4653e-15,-1.225e-15,0,1.2257,1,0.184,0.184,0.2,0
1.6002,5.7741,1.4994,2.6056,0.57477,0,1.4189,0.35229,5.4261e-15,2.2e-14,1.0058e-14,-2.8741e-15,0,1.2404,1,0.186,0.186,0.2,0
1.6383,5.8998,1.4788,2.6318,0.6159,0,1.4664,0.37608,8.259e-15,3.3757e-14,1.3602e-14,-3.1492e-15,0,1.2513,1,0.188,0.188,0.2,0
