"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99922,3.7829,2.0007,1.9988,-0.0005925,0,0.71351,-0.00038968,7.5094e-14,-2.3022e-13,-3.1097e-13,1.7171e-13,0,0.99969,1,0.064,0.064,0.2,0
0.9991,3.7825,2.0008,1.9986,-0.00069207,0,0.71338,-0.0004537,8.4616e-14,-2.6986e-13,-3.5879e-13,1.9625e-13,0,0.99962,1,0.066,0.066,0.2,0
0.99899,3.7821,2.0009,1.9985,-0.00079165,0,0.71325,-0.00051772,9.4137e-14,-3.095e-13,-4.0662e-13,2.2079e-13,0,0.99956,1,0.068,0.068,0.2,0
0.99887,3.7817,2.0011,1.9983,-0.00089122,0,0.71312,-0.00058175,1.0366e-13,-3.4914e-13,-4.5445e-13,2.4533e-13,0,0.9995,1,0.07,0.07,0.2,0
0.99877,3.7814,2.0012,1.9982,-0.00098615,0,0.713,-0.00064185,1.154e-13,-3.6153e-13,-4.7061e-13,2.6559e-13,0,0.99944,1,0.072,0.072,0.2,0
0.99874,3.7813,2.0014,1.9982,-0.0010527,0,0.71293,-0.00067797,1.4075e-13,-2.0719e-13,-2.93e-13,2.5966e-13,0,0.99936,1,0.074,0.074,0.2,0
0.99872,3.7813,2.0016,1.9983,-0.0011192,0,0.71286,-0.0007141,1.661e-13,-5.2851e-14,-1.154e-13,2.5374e-13,0,0.99928,1,0.076,0.076,0.2,0
0.99869,3.7813,2.0018,1.9984,-0.0011858,0,0.71279,-0.00075022,1.9144e-13,1.0149e-13,6.2202e-14,2.4782e-13,0,0.9992,1,0.078,0.078,0.2,0
0.99867,3.7813,2.0019,1.9984,-0.0012523,0,0.71271,-0.00078635,2.1679e-13,2.5583e-13,2.3981e-13,2.419e-13,0,0.99913,1,0.08,0.08,0.2,0
0.99864,3.7812,2.0021,1.9985,-0.0013188,0,0.71264,-0.00082247,2.4214e-13,4.1017e-13,4.1741e-13,2.3598e-13,0,0.99905,1,0.082,0.082,0.2,0
0.99862,3.7812,2.0023,1.9985,-0.0013854,0,0.71257,-0.00085859,2.6748e-13,5.6451e-13,5.9501e-13,2.3006e-13,0,0.99897,1,0.084,0.084,0.2,0
0.9986,3.7812,2.0025,1.9986,-0.0014519,0,0.7125,-0.00089472,2.9283e-13,7.1885e-13,7.7262e-13,2.2413e-13,0,0.9989,1,0.086,0.086,0.2,0
0.99857,3.7812,2.0027,1.9986,-0.0015184,0,0.71242,-0.00093084,3.1817e-13,8.7319e-13,9.5022e-13,2.1821e-13,0,0.99882,1,0.088,0.088,0.2,0
